0,-0.999510763,-1,-0.966242661,-0.599804305,-0.209784736,-0.488258317,-0.491193738,-0.471428571,-0.55758317,-0.924168297,-0.862035225,-0.991682975
2,-1,-0.966242661,-0.599804305,-0.209784736,-0.488258317,-0.491193738,-0.471428571,-0.55758317,-0.924168297,-0.862035225,-0.991682975,-1
0,-0.966242661,-0.599804305,-0.209784736,-0.488258317,-0.491193738,-0.471428571,-0.55758317,-0.924168297,-0.862035225,-0.991682975,-1,-0.833170254
3,-0.599804305,-0.209784736,-0.488258317,-0.491193738,-0.471428571,-0.55758317,-0.924168297,-0.862035225,-0.991682975,-1,-0.833170254,-1
4,-0.209784736,-0.488258317,-0.491193738,-0.471428571,-0.55758317,-0.924168297,-0.862035225,-0.991682975,-1,-0.833170254,-1,-0.603228963
4,-0.488258317,-0.491193738,-0.471428571,-0.55758317,-0.924168297,-0.862035225,-0.991682975,-1,-0.833170254,-1,-0.603228963,-0.256604697
4,-0.491193738,-0.471428571,-0.55758317,-0.924168297,-0.862035225,-0.991682975,-1,-0.833170254,-1,-0.603228963,-0.256604697,0.022504892
4,-0.471428571,-0.55758317,-0.924168297,-0.862035225,-0.991682975,-1,-0.833170254,-1,-0.603228963,-0.256604697,0.022504892,-0.136986301
0,-0.55758317,-0.924168297,-0.862035225,-0.991682975,-1,-0.833170254,-1,-0.603228963,-0.256604697,0.022504892,-0.136986301,-0.073385519
0,-0.924168297,-0.862035225,-0.991682975,-1,-0.833170254,-1,-0.603228963,-0.256604697,0.022504892,-0.136986301,-0.073385519,-1
1,-0.862035225,-0.991682975,-1,-0.833170254,-1,-0.603228963,-0.256604697,0.022504892,-0.136986301,-0.073385519,-1,-1
0,-0.991682975,-1,-0.833170254,-1,-0.603228963,-0.256604697,0.022504892,-0.136986301,-0.073385519,-1,-1,-0.971624266
0,-1,-0.833170254,-1,-0.603228963,-0.256604697,0.022504892,-0.136986301,-0.073385519,-1,-1,-0.971624266,-1
3,-0.833170254,-1,-0.603228963,-0.256604697,0.022504892,-0.136986301,-0.073385519,-1,-1,-0.971624266,-1,-1
1,-1,-0.603228963,-0.256604697,0.022504892,-0.136986301,-0.073385519,-1,-1,-0.971624266,-1,-1,-0.710861057
2,-0.603228963,-0.256604697,0.022504892,-0.136986301,-0.073385519,-1,-1,-0.971624266,-1,-1,-0.710861057,-0.953033268
4,-0.256604697,0.022504892,-0.136986301,-0.073385519,-1,-1,-0.971624266,-1,-1,-0.710861057,-0.953033268,-0.888454012
4,0.022504892,-0.136986301,-0.073385519,-1,-1,-0.971624266,-1,-1,-0.710861057,-0.953033268,-0.888454012,0.115949119
4,-0.136986301,-0.073385519,-1,-1,-0.971624266,-1,-1,-0.710861057,-0.953033268,-0.888454012,0.115949119,-0.409980431
4,-0.073385519,-1,-1,-0.971624266,-1,-1,-0.710861057,-0.953033268,-0.888454012,0.115949119,-0.409980431,-0.02592955
4,-1,-1,-0.971624266,-1,-1,-0.710861057,-0.953033268,-0.888454012,0.115949119,-0.409980431,-0.02592955,0.532778865
