0,-1,-1,-1,-1,-0.72450805,-1,-0.952892069,-0.223911747,-0.533691115,-0.769528921,-1,-1
0,-1,-1,-1,-0.72450805,-1,-0.952892069,-0.223911747,-0.533691115,-0.769528921,-1,-1,-1
2,-1,-1,-0.72450805,-1,-0.952892069,-0.223911747,-0.533691115,-0.769528921,-1,-1,-1,-1
2,-1,-0.72450805,-1,-0.952892069,-0.223911747,-0.533691115,-0.769528921,-1,-1,-1,-1,-0.946332737
4,-0.72450805,-1,-0.952892069,-0.223911747,-0.533691115,-0.769528921,-1,-1,-1,-1,-0.946332737,-0.953786524
4,-1,-0.952892069,-0.223911747,-0.533691115,-0.769528921,-1,-1,-1,-1,-0.946332737,-0.953786524,-0.660405486
2,-0.952892069,-0.223911747,-0.533691115,-0.769528921,-1,-1,-1,-1,-0.946332737,-0.953786524,-0.660405486,-0.60822898
3,-0.223911747,-0.533691115,-0.769528921,-1,-1,-1,-1,-0.946332737,-0.953786524,-0.660405486,-0.60822898,-0.951401312
4,-0.533691115,-0.769528921,-1,-1,-1,-1,-0.946332737,-0.953786524,-0.660405486,-0.60822898,-0.951401312,-0.849433512
4,-0.769528921,-1,-1,-1,-1,-0.946332737,-0.953786524,-0.660405486,-0.60822898,-0.951401312,-0.849433512,0.110017889
0,-1,-1,-1,-1,-0.946332737,-0.953786524,-0.660405486,-0.60822898,-0.951401312,-0.849433512,0.110017889,-0.142218247
0,-1,-1,-1,-0.946332737,-0.953786524,-0.660405486,-0.60822898,-0.951401312,-0.849433512,0.110017889,-0.142218247,-1
0,-1,-1,-0.946332737,-0.953786524,-0.660405486,-0.60822898,-0.951401312,-0.849433512,0.110017889,-0.142218247,-1,-1
2,-1,-0.946332737,-0.953786524,-0.660405486,-0.60822898,-0.951401312,-0.849433512,0.110017889,-0.142218247,-1,-1,-1
1,-0.946332737,-0.953786524,-0.660405486,-0.60822898,-0.951401312,-0.849433512,0.110017889,-0.142218247,-1,-1,-1,-0.943053071
0,-0.953786524,-0.660405486,-0.60822898,-0.951401312,-0.849433512,0.110017889,-0.142218247,-1,-1,-1,-0.943053071,-0.97763864
2,-0.660405486,-0.60822898,-0.951401312,-0.849433512,0.110017889,-0.142218247,-1,-1,-1,-0.943053071,-0.97763864,-1
4,-0.60822898,-0.951401312,-0.849433512,0.110017889,-0.142218247,-1,-1,-1,-0.943053071,-0.97763864,-1,-0.947227191
4,-0.951401312,-0.849433512,0.110017889,-0.142218247,-1,-1,-1,-0.943053071,-0.97763864,-1,-0.947227191,-0.551580203
4,-0.849433512,0.110017889,-0.142218247,-1,-1,-1,-0.943053071,-0.97763864,-1,-0.947227191,-0.551580203,-0.347048301
4,0.110017889,-0.142218247,-1,-1,-1,-0.943053071,-0.97763864,-1,-0.947227191,-0.551580203,-0.347048301,0.061419201
